Date,Epoch, Pbary ,P'bary,Skynet plot name
Oct 19 03:01:24 2019,58775.2950657154,5.75723544441377,-3.29932948144542E-11,J0437-4715_ap_3
Oct 18 03:05:10 2019,58774.2976658784,5.75742653364277,1.28295272380902E-11,psr_j0437-4715_ap
Oct 20 02:57:24 2019,58776.2923029437,5.75727136764541,-2.47980961439318E-11,J0437-4715_ap_4
Oct 20 03:06:02 2019,58776.2983085313,5.75726237572109,1.28811461164998E-11,J0437-4715_ap_3
Oct 21 02:53:37 2019,58777.2896901672,5.75750516458320,8.23951825420566E-12,J0437-4715_ap_5
Oct 22 02:49:25 2019,58778.2867873322,5.75768913114636,-1.09725743094062E-17,J0437-4715_ap_6
Oct 23 02:45:27 2019,58779.2840458395,5.75761568902280,-7.47830971988643E-18,J0437-4715_ap_7
Oct 24 02:41:37 2019,58780.2813851114,5.75736557993028,6.43565250403784E-18,J0437-4715_ap_8
Oct 25 02:37:50 2019,58781.2787697327,5.75723544346115,-1.07229016520053E-10,J0437-4715_ap_9
Oct 26 02:33:27 2019,58782.2757945329,5.75745246067686,-5.77387813322574E-10,J0437-4715_ap_10
Oct 27 02:30:03 2019,58783.2733980912,5.75756710462621,-4.74228994223844E-18,J0437-4715_ap_11
Oct 28 02:25:54 2019,58784.2705267575,5.75769729450851,8.23957359837325E-12,J0437-4715_ap_12
Oct 29 02:22:08 2019,58785.2679548438,5.75755890862292,1.64968536389904E-11,J0437-4715_ap_13
Oct 30 02:17:49 2019 ,58786.2649200454,5.75730592121110,8.23080777510200E-12,J0437-4715_ap_14
Oct 31 02:56:42 2019 ,58787.2919495089,5.75723558405615,-1.23594319727843E-10,J0437-4715_ap_15
Nov 1 02:09:42 2019,58788.2593572178,5.75737902104945,-2.47719014390000E-11,J0437-4715_ap_16
Nov 2 02:06:54 2019,58789.2573620587,5.75761878864557,8.23963215952041E-12,J0437-4715_ap_17
Nov 4 00:58:11 2019,58791.2513330989,5.75750103292496,-4.47619999007945E-20,J0437-4715_ap_19
Nov 4 01:06:49 2019,58791.2573387542,5.75750206695685,-8.24849275363281E-12,J0437-4715_ap_20
Nov 5 00:54:15 2019,58792.2485942508,5.75726566092206,-8.23084564099074E-12,J0437-4715_ap_21
Nov 6 00:50:29 2019,58793.2459837880,5.75723515774632,-3.30648374272031E-11,J0437-4715_ap_22
Nov 7 00:48:01 2019,58794.2442744492,5.75743179112573,8.24852855369616E-12,J0437-4715_ap_23
Nov 8 00:44:07 2019,58795.2415688295,5.75766002253759,8.23087777780385E-12,J0437-4715_ap_24
Nov 9 00:38:56 2019,58796.2379724703,5.75766424025547,-8.23972462807998E-12,J0437-4715_ap_25
Nov 10 00:34:36 2019,58797.2349768998,5.75742651084703,3.31953590042362E-18,J0437-4715_ap_26
Nov 13 00:23:23 2019,58800.2271776757,5.75750000000000,-3.01010904143529E-21,J0437-4715_ap_27
Nov 13 00:23:23 2019,58800.2271776757,5.75750000000000,-3.01010904143529E-21,J0437-4715_ap_27
Nov 15 00:15:53 2019,58802.2219788074,5.75762085559939,-9.33746218153363E-18,J0437-4715_ap_29
Nov 16 00:26:09 2019,58803.2290936454,5.75736978368956,8.92652994126306E-18,J0437-4715_ap_30
Nov 17 00:07:12 2019,58804.2159441730,5.75723543954456,-9.89835590134590E-11,J0437-4715_ap_31
Nov 18 00:03:52 2019,58805.2136258865,5.75730457282780,8.25749507753800E-12,J0437-4715_ap_32
Nov 18 23:59:17 2019,58806.2104276196,5.75755589872144,1.65504483417092E-11,J0437-4715_ap_33
Nov 19 23:55:14 2019,58807.2076102369,5.75769936346094,-8.23984833964535E-12,J0437-4715_ap_34
Nov 20 23:51:41 2019,58808.2051975919,5.75755887796513,3.29593773006152E-11,J0437-4715_ap_35
